faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Fabricação de máquinas e equipamentos de uso geral,6006,103172,94238,94581.65,4495740.818,3.832681,3656.3774978469
Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,2294,67264,63890,64758.75,3332657.943,4.149546,3958.66664053417
Fabricação de máquinas-ferramenta,1503,23291,21122,21210.72,1178084.018,4.478464,4272.45503870031
Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,459,28110,27510,28020.01,1994200.574,5.738638,5474.66057841686
Fabricação de máquinas e equipamentos de uso industrial específico,4894,67936,60568,59243.38,2775434.091,3.777456,3603.69259952628
"Fabricação de veículos automotores, reboques e carrocerias",7219,440457,430895,432230.06,26369303.783,4.919172,4692.88966923701
"Fabricação de automóveis, camionetas e utilitários",118,91190,91131,89912.54,8536663.414,7.655546,7303.3907891106
Fabricação de caminhões e ônibus,39,21739,21722,22216.5,2449009.315,8.888389,8479.52341381752
"Fabricação de cabines, carrocerias e reboques para veículos automotores",1998,49340,46674,45851.1,1818474.214,3.197906,3050.80209299567
Fabricação de peças e acessórios para veículos automotores,3254,265768,261659,264558.48,13314146.425,4.057887,3871.2238958108
Recondicionamento e recuperação de motores para veículos automotores,1810,12420,9709,9691.44,251010.415,2.08839,1992.32451127371
"Fabricação de outros equipamentos de transporte, exceto veículos automotores",1595,71638,69618,73620.9,4695188.911,5.142333,4905.78596253551
Construção de embarcações,616,20682,19921,23798.95,1185462.68,4.016413,3831.65799008263
Fabricação de veículos ferroviários,85,,,,,,
Fabricação de aeronaves,102,19221,19098,19101.6,1920607.647,8.107317,7734.38087747784
Fabricação de veículos militares de combate,2,,,,,,
Fabricação de equipamentos de transporte não especificados anteriormente,790,26075,25011,24897.7,1094169.833,3.543511,3380.50945391619
Fabricação de móveis,24008,268107,235147,238427.14,6043181.249,2.043705,1949.69455271293
Fabricação de móveis,24008,268107,235147,238427.14,6043181.249,2.043705,1949.69455271293
Fabricação de produtos diversos,16529,174238,152139,154516.53,4535624.392,2.366848,2257.97320196098
"Fabricação de artigos de joalheria, bijuteria e semelhantes",2325,20966,17692,18523.91,461314.884,2.008043,1915.67332748282
Fabricação de instrumentos musicais,182,1603,1344,1356.93,33418.4,1.985804,1894.45745458215
Fabricação de artefatos para pesca e esporte,580,5251,4508,4611.31,109534.987,1.9153,1827.19622640188
Fabricação de brinquedos e jogos recreativos,795,14300,13239,14114.62,338866.666,1.935833,1846.78486671158
Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,5340,66531,59307,58754.69,1998173.481,2.742199,2616.05758424758
Fabricação de produtos diversos,7307,65587,56049,57155.07,1594315.974,2.249199,2145.73598296166
"Manutenção, reparação e instalação de máquinas e equipamentos",36724,236016,187256,183714.26,7126861.32,3.127978,2984.09117255493
Manutenção e reparação de máquinas e equipamentos,28463,186517,148546,146798.59,5923963.119,3.253859,3104.18152308076
Instalação de máquinas e equipamentos,8261,49499,38710,36915.67,1202898.201,2.627401,2506.54074126662
Eletricidade e gás,6612,132280,127060,127640.11,12773729.04,8.069355,7698.16432732988
"Eletricidade, gás e outras utilidades",6612,132280,127060,127640.11,12773729.04,8.069355,7698.16432732988
"Geração, transmissão e distribuição de energia elétrica",6409,127700,122591,123186.52,12239963.724,8.01171,7643.17127455929
Produção e distribuição de combustíveis gasosos por redes urbanas,167,3968,3892,3890,504868.483,10.464945,9983.55710895788
"Produção e distribuição de vapor, água quente e ar condicionado",36,612,577,563.59,28896.833,4.134236,3944.06094446727
"Água, esgoto, atividades de gestão de resíduos e descontaminação",15536,408667,393430,388238.73,16856422.471,3.500861,3339.82104872591
"Captação, tratamento e distribuição de água",4677,150679,149157,148291.99,10088755.398,5.485651,5233.31103411898
"Captação, tratamento e distribuição de água",4677,150679,149157,148291.99,10088755.398,5.485651,5233.31103411898
Esgoto e atividades relacionadas,1415,17220,15476,15374.66,581694.905,3.05069,2910.35781754373
Esgoto e atividades relacionadas,1415,17220,15476,15374.66,581694.905,3.05069,2910.35781754373
"Coleta, tratamento e disposição de resíduos; recuperação de materiais",9300,238945,227141,222794.19,6134545.467,2.220173,2118.04496717869
Coleta de resíduos,5136,192361,185892,183018.02,5025788.728,2.214209,2112.35556434867
Tratamento e disposição de resíduos,526,14946,14431,13048.38,441215.245,2.726479,2601.06114558047
Recuperação de materiais,3638,31638,26818,26727.79,667541.494,2.013833,1921.1968401543
Descontaminação e outros serviços de gestão de resíduos,144,1823,1656,1777.89,51426.701,2.332341,2225.05333677735
Descontaminação e outros serviços de gestão de resíduos,144,1823,1656,1777.89,51426.701,2.332341,2225.05333677735
Construção,247363,2235052,1859942,1876724.85,54786881.849,2.35388,2245.60117421909
Construção de edifícios,123424,902268,693760,708105.43,17919409.006,2.040488,1946.62548680726
Incorporação de empreendimentos imobiliários,45465,141403,63028,64321.78,1978412.196,2.480087,2366.00345230591
Construção de edifícios,77959,760865,630732,643783.65,15940996.81,1.996567,1904.72455124661
Obras de infraestrutura,21987,619500,589021,590182.05,20712046.121,2.829732,2699.564171767
"Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",6902,212236,202399,216177.87,7788075.948,2.904873,2771.24927371506
"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",5176,248358,241438,236111.81,8192546.383,2.797754,2669.0569845506
Construção de outras obras de infraestrutura,9909,158906,145184,137892.37,4731423.79,2.766686,2639.41852731842
Serviços especializados para construção,101952,713284,577161,578437.37,16155426.722,2.25201,2148.41778369461
Demolição e preparação do terreno,11644,83118,67088,68477.15,1893799.359,2.229957,2127.37933411701
"Instalações elétricas, hidráulicas e outras instalações em construções",39276,309997,257329,254053.9,7752021.638,2.460353,2347.17655099658
Obras de acabamento,25300,126686,93643,96893.86,2114224.256,1.759394,1678.46172169138
Outros serviços especializados para construção,25732,193483,159101,159012.46,4395381.469,2.228813,2126.28788238452
Comércio; reparação de veículos automotores e motocicletas,2002995,11420897,8976676,8911409.8,228392984.525,2.066544,1971.48279695405
Comércio e reparação de veículos automotores e motocicletas,247060,1229681,912921,918406.42,24841182.581,2.18095,2080.62591563598
Comércio de veículos automotores,32554,264568,225347,225491.32,8361670.966,2.990002,2852.46216538657
Manutenção e reparação de veículos automotores,75599,297045,198204,199620.46,4341692.922,1.753728,1673.05685306699
Comércio de peças e acessórios para veículos automotores,116991,569170,416320,419808.32,10423958.881,2.002119,1910.02167571656
"Comércio, manutenção e reparação de motocicletas, peças e acessórios",21916,98898,73050,73486.32,1713859.812,1.880516,1794.01241147803
"Comércio por atacado, exceto veículos automotores e motocicletas",293129,2002590,1627079,1619009.42,61460721.565,3.060952,2920.1484279766
"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas",102657,189422,43088,41909.45,1457194.211,2.803585,2674.6202201321
Comércio atacadista de matérias-primas agrícolas e animais vivos,11535,89982,77483,77608.98,3071681.247,3.191335,3044.53392952921
"Comércio atacadista especializado em produtos alimentícios, bebidas e fumo",45764,558580,502879,500743.74,14774990.712,2.37914,2269.69936174723
Comércio atacadista de produtos de consumo não-alimentar,49212,408154,349264,347122.46,14482754.048,3.364161,3209.4091626693
Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação,4617,39634,34119,33733.56,2812211.509,6.721931,6412.72258933742
"Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação",20022,156076,130320,130204.5,6652695.697,4.119836,3930.32362818608
"Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",16732,131136,110058,111336.05,3250187.026,2.353861,2245.58340820772
Comércio atacadista especializado em outros produtos,32780,250092,211323,210295.33,9670898.048,3.708049,3537.47862333195
Comércio atacadista não-especializado,9810,179514,168545,166055.35,5288109.067,2.567768,2449.65079739052
Comércio varejista,1462806,8188626,6436676,6373993.96,142091080.379,1.797477,1714.79345205983
Comércio varejista não-especializado,201326,2038810,1816804,1809077.35,38817947.196,1.73015,1650.56288950489
"Comércio varejista de produtos alimentícios, bebidas e fumo",181041,862383,639749,636528.69,11904872.452,1.508048,1438.67736642729
Comércio varejista de combustíveis para veículos automotores,46069,432285,366485,370234.02,8467281.104,1.844064,1759.23680836328
Comércio varejista de material de construção,183609,928424,689466,697867.36,15313695.922,1.769357,1687.96633415355
Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,210585,1011386,766976,756293.68,19069648.573,2.033108,1939.58522048858
"Comércio varejista de artigos culturais, recreativos e esportivos",64689,263311,182743,181526.2,3935498.035,1.74811,1667.69655331805
"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",162550,879333,691688,682132.27,16938779.63,2.002266,1910.16186415215
Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,412937,1772694,1282765,1240334.39,27643357.467,1.79705,1714.38616069184
Comércio ambulante e outros tipos de comércio varejista,,,,,,,
"Transporte, armazenagem e correio",257773,2636773,2336678,2345775.11,85683292.317,2.945222,2809.74184516907
Transporte terrestre,194277,1856002,1619100,1633863.9,52223076.393,2.57724,2458.68687259597
Transporte ferroviário e metroferroviário,137,72030,71983,71094.5,5015554.921,5.688415,5426.74773716673
Transporte rodoviário de passageiros,45496,726578,671057,689477.04,19611751.52,2.293532,2188.02974319381
Transporte rodoviário de carga,148473,1049320,868035,866147.66,25876476.961,2.408915,2298.10495333928
