uf,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
  Nordeste,J Informação e comunicação,16007,129264,109283,106432.45,3656364.35,2.6479,2642.60379380392
  Nordeste,"K Atividades financeiras, de seguros e serviços relacionados",15920,125714,109089,110355.21,8134810.426,5.681731,5670.36797042791
  Nordeste,L Atividades imobiliárias,13900,49396,26220,26324.26,534186.568,1.564094,1560.96598580695
  Nordeste,"M Atividades profissionais, científicas e técnicas",44943,210547,148644,146717.76,4437577.785,2.331253,2326.59043668396
  Nordeste,N Atividades administrativas e serviços complementares,62831,894290,817322,809152.2,15172247.05,1.445259,1442.36884843553
  Nordeste,"O Administração pública, defesa e seguridade social",6254,2123923,2123851,2168711,93641144.395,3.32806,3321.40379859812
  Nordeste,P Educação,41301,725544,688660,697662.76,32353830.629,3.574426,3567.27683477153
  Nordeste,Q Saúde humana e serviços sociais,48996,754478,670471,665651.43,21371410.165,2.474642,2469.69292633672
  Nordeste,"R Artes, cultura, esporte e recreação",10514,49332,36924,36389.82,877147.507,1.857885,1854.16924716435
  Nordeste,S Outras atividades de serviços,51860,189483,146932,148058.48,3108481.493,1.618233,1614.9967296706
  Nordeste,U Organismos internacionais e outras instituições extraterritoriais,12,,,,,,
    Maranhão,Total,70435,825034,750104,758056.6,23743652.452,2.414193,2409.36468859977
    Maranhão,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",864,12643,11641,12700.8,280215.842,1.700543,1697.14228782681
    Maranhão,B Indústrias extrativas,141,1721,1569,1602.88,99130.22,4.766846,4757.31279850116
    Maranhão,C Indústrias de transformação,3069,37256,33622,34640.09,914748.513,2.035395,2031.32469432872
    Maranhão,D Eletricidade e gás,187,2155,2133,2189.51,132959.678,4.680574,4671.2129830243
    Maranhão,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",218,6595,6390,6475.67,281628.995,3.352114,3345.40964041618
    Maranhão,F Construção,3060,37743,33642,32678.99,709631.885,1.67375,1670.40254539455
    Maranhão,G Comércio; reparação de veículos automotores e motocicletas,36574,182917,145084,148017.76,2868083.158,1.493496,1490.50885099609
    Maranhão,"H Transporte, armazenagem e correio",2191,31024,28935,29597.91,949130.306,2.471672,2466.72902034169
    Maranhão,I Alojamento e alimentação,2954,21957,18483,18840.69,306335.157,1.253217,1250.71018344625
    Maranhão,J Informação e comunicação,1078,9666,8500,8489.86,191233.332,1.736158,1732.68538087699
    Maranhão,"K Atividades financeiras, de seguros e serviços relacionados",1060,8901,8061,8032.88,552100.466,5.297524,5286.9290485336
    Maranhão,L Atividades imobiliárias,756,3343,2260,2365.95,41341.587,1.346814,1344.12057605743
    Maranhão,"M Atividades profissionais, científicas e técnicas",2944,11926,8273,8034.58,204282.611,1.959721,1955.80192119563
    Maranhão,N Atividades administrativas e serviços complementares,3219,49699,45918,47412.84,887596.866,1.442932,1440.04624063861
    Maranhão,"O Administração pública, defesa e seguridade social",590,260314,260301,263173.54,10366716.979,3.036163,3030.09097197
    Maranhão,P Educação,3383,67014,64504,63798.06,3120390.349,3.76988,3762.34052957337
    Maranhão,Q Saúde humana e serviços sociais,3635,62210,56491,55938.32,1571839.132,2.165832,2161.50042513859
    Maranhão,"R Artes, cultura, esporte e recreação",685,2576,1821,1866.06,30504.215,1.25997,1257.45049833504
    Maranhão,S Outras atividades de serviços,3827,15374,12476,12200.21,235783.161,1.489607,1486.62738024749
    Maranhão,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
    Piauí,Total,52074,515237,456553,461970.94,14106880.939,2.353653,2348.94577484762
    Piauí,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",517,5006,4372,4718.12,107847.891,1.761849,1758.32569230639
    Piauí,B Indústrias extrativas,124,777,639,679.58,13131.517,1.489363,1486.38378455471
    Piauí,C Indústrias de transformação,3002,30450,26818,27634.29,528506.396,1.474104,1471.15551562375
    Piauí,D Eletricidade e gás,107,1546,1488,2013.22,143341.937,5.487925,5476.94879156468
    Piauí,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",260,3305,3140,3382.94,195565.801,4.45579,4446.8785003122
    Piauí,F Construção,2095,22830,19463,19278.61,374232.497,1.496208,1493.21528646755
    Piauí,G Comércio; reparação de veículos automotores e motocicletas,25982,119367,91923,93510.01,1725246.757,1.422064,1419.22013482835
    Piauí,"H Transporte, armazenagem e correio",1308,11720,10533,11199.53,287074.417,1.975699,1971.7476949067
    Piauí,I Alojamento e alimentação,2499,17335,14352,14322.83,210736.746,1.134064,1131.79580593199
    Piauí,J Informação e comunicação,821,5284,4275,4139.65,112307.392,2.091081,2086.89868801617
    Piauí,"K Atividades financeiras, de seguros e serviços relacionados",543,5641,5194,5212.62,375923.21,5.558648,5547.53080025016
    Piauí,L Atividades imobiliárias,411,1847,1193,1357.55,20898.074,1.186524,1184.15097333148
    Piauí,"M Atividades profissionais, científicas e técnicas",2073,9023,6044,5966.37,203783.849,2.632605,2627.33968766732
    Piauí,N Atividades administrativas e serviços complementares,2296,42701,39773,41189.88,691071.779,1.293179,1290.59292271268
    Piauí,"O Administração pública, defesa e seguridade social",763,113921,113916,113873.75,5030037.9,3.40466,3397.85062235759
    Piauí,P Educação,2350,64440,62199,62372.41,2419797.228,2.990285,2984.30425099322
    Piauí,Q Saúde humana e serviços sociais,3227,47628,42076,41935.19,1499917.968,2.756862,2751.34809764232
    Piauí,"R Artes, cultura, esporte e recreação",561,2006,1354,1364.86,24424.166,1.379297,1376.53825300763
    Piauí,S Outras atividades de serviços,3135,10410,7801,7819.53,143035.414,1.409902,1407.08254253723
    Piauí,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
    Ceará,Total,145497,1656261,1484385,1504960,44521548.298,2.280192,2275.63156792309
    Ceará,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",1472,18385,16392,15984.2,285116.221,1.374856,1372.10601719198
    Ceará,B Indústrias extrativas,346,3151,2760,2774.78,93100.288,2.586119,2580.94717973483
    Ceará,C Indústrias de transformação,12147,235752,221310,227726.5,5039838.445,1.705804,1702.39247687298
    Ceará,D Eletricidade e gás,424,,,,,,
    Ceará,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",724,10254,9841,9714.84,362359.84,2.874951,2869.20153560469
    Ceará,F Construção,7167,69042,57629,61094.86,1427175.344,1.800523,1796.92233960812
    Ceará,G Comércio; reparação de veículos automotores e motocicletas,58131,314619,252168,259455.5,4815697.501,1.430614,1427.75261772324
    Ceará,"H Transporte, armazenagem e correio",4115,51469,47144,49432.47,1414649.889,2.205783,2201.37133003407
    Ceará,I Alojamento e alimentação,7743,62387,53228,53802.03,848022.009,1.214883,1212.4535492577
    Ceará,J Informação e comunicação,2846,30477,26808,25247.35,828784.47,2.530183,2525.12249952813
    Ceará,"K Atividades financeiras, de seguros e serviços relacionados",3166,27124,23216,23424.16,1964275.066,6.46345,6450.52296432401
    Ceará,L Atividades imobiliárias,2777,10613,5894,5862.62,120131.371,1.579395,1576.23634011887
    Ceará,"M Atividades profissionais, científicas e técnicas",7216,30641,20377,19997.35,616565.858,2.376474,2371.72139923925
