mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Macapá - AP,I Alojamento e alimentação,364,2743,2361,2415.24,39490.616,1.260259,1257.73823400892
Macapá - AP,J Informação e comunicação,112,1220,1109,1227.57,34086.904,2.140264,2135.98372268917
Macapá - AP,"K Atividades financeiras, de seguros e serviços relacionados",112,1111,1022,1015.84,60369.876,4.580586,4571.42523958952
Macapá - AP,L Atividades imobiliárias,70,,,,,,
Macapá - AP,"M Atividades profissionais, científicas e técnicas",308,1275,939,966.97,52170.675,4.158527,4150.21029210197
Macapá - AP,N Atividades administrativas e serviços complementares,359,9001,8606,8392.66,164776.505,1.513289,1510.26203482934
Macapá - AP,"O Administração pública, defesa e seguridade social",35,49249,49249,48851.71,4104491.228,6.475983,6463.03055638254
Macapá - AP,P Educação,361,5740,5362,5606.03,234352.908,3.222115,3215.67076330857
Macapá - AP,Q Saúde humana e serviços sociais,407,7478,6866,6680.23,187985.213,2.168994,2164.65615704849
Macapá - AP,"R Artes, cultura, esporte e recreação",73,347,280,280.25,4254.983,1.170249,1167.90859809236
Macapá - AP,S Outras atividades de serviços,376,1701,1448,1367.64,28847.487,1.625782,1622.53038923873
Macapá - AP,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Palmas - TO,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",47,,,,,,
Palmas - TO,B Indústrias extrativas,15,,,,,,
Palmas - TO,C Indústrias de transformação,368,2340,1880,1954.67,41739.494,1.645886,1642.59455953808
Palmas - TO,D Eletricidade e gás,17,671,664,670.06,28701.188,3.301507,3294.90447468539
Palmas - TO,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",27,1452,1419,1745.51,63291.258,2.794779,2789.18958223803
Palmas - TO,F Construção,666,4619,3575,4140.81,102914.476,1.915655,1911.8235692645
Palmas - TO,G Comércio; reparação de veículos automotores e motocicletas,3434,21061,17172,17711.1,411762.848,1.791958,1788.37368829543
Palmas - TO,"H Transporte, armazenagem e correio",253,2636,2368,2622.84,82246.63,2.416976,2412.14250436696
Palmas - TO,I Alojamento e alimentação,551,4376,3724,3528.62,52755.968,1.152372,1150.06755746308
Palmas - TO,J Informação e comunicação,225,1383,1144,1135.78,38444.893,2.608979,2603.76081770982
Palmas - TO,"K Atividades financeiras, de seguros e serviços relacionados",277,1687,1439,1391.17,100362.158,5.560526,5549.4051769374
Palmas - TO,L Atividades imobiliárias,349,985,433,445.93,10580.175,1.828741,1825.08379204049
Palmas - TO,"M Atividades profissionais, científicas e técnicas",906,2824,1654,1644.46,64035.192,3.001384,2995.38085450543
Palmas - TO,N Atividades administrativas e serviços complementares,835,10296,9544,9982.09,186763.273,1.442102,1439.21820133706
Palmas - TO,"O Administração pública, defesa e seguridade social",64,35727,35727,35401.62,3037576.421,6.613482,6600.25514912334
Palmas - TO,P Educação,386,21337,21001,24591.26,1293468.604,4.054163,4046.054774057
Palmas - TO,Q Saúde humana e serviços sociais,614,17112,16213,15903.47,950386.296,4.606111,4596.89854816881
Palmas - TO,"R Artes, cultura, esporte e recreação",118,412,269,277.6,5483.446,1.52251,1519.4651961871
Palmas - TO,S Outras atividades de serviços,622,2248,1899,1938.56,48731.787,1.937578,1933.70285160119
Palmas - TO,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
São Luís - MA,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",34,144,92,87.15,1608.752,1.422813,1419.96734189505
São Luís - MA,B Indústrias extrativas,31,572,539,520.39,47030.815,6.965939,6952.00714848479
São Luís - MA,C Indústrias de transformação,895,11736,10693,10721.45,322877.876,2.321191,2316.54857246993
