mun_capital,cnae,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Manaus - AM,35,"Eletricidade, gás e outras utilidades",52,2015,2000,2157.66,258479.125,9.233547,9215.08004754438
Manaus - AM,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",90,3542,3456,3516.25,100951.924,2.212896,2208.46999371052
Manaus - AM,36,"Captação, tratamento e distribuição de água",8,1092,1089,1005.45,38438.665,2.946686,2940.79306242517
Manaus - AM,37,Esgoto e atividades relacionadas,10,,,,,,
Manaus - AM,38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",68,2386,2320,2453.41,61005.401,1.916568,1912.73499082752
Manaus - AM,39,Descontaminação e outros serviços de gestão de resíduos,4,,,,,,
Manaus - AM,F,Construção,1462,20310,18404,18390.97,471539.81,1.976241,1972.28819779071
Manaus - AM,41,Construção de edifícios,504,6238,5511,5659.8,133808.541,1.822254,1818.60926045226
Manaus - AM,42,Obras de infraestrutura,134,4704,4554,4235.64,146288.604,2.662058,2656.7341744014
Manaus - AM,43,Serviços especializados para construção,824,9368,8339,8495.53,191442.665,1.736898,1733.4243827229
