cnae,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",100 a 249,54,8645,8594,11319.63,611662.075,4.164908,4156.57833746808
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",250 a 499,58,19616,19584,23557.99,1265755.7,4.14131,4133.02760876132
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",500 ou mais,122,154041,153924,162634.12,11516185.493,5.457869,5446.95309039986
20,Fabricação de produtos químicos,0 a 4,5672,10335,3942,5606.78,165550.442,2.275846,2271.29464409436
20,Fabricação de produtos químicos,5 a 9,2044,13754,10596,10999.54,329159.163,2.306522,2301.90859030329
20,Fabricação de produtos químicos,10 a 19,1705,23237,20631,21195.77,688299.669,2.502963,2497.95729924487
20,Fabricação de produtos químicos,20 a 29,667,15927,14977,15295.17,544459.99,2.743707,2738.21982314075
20,Fabricação de produtos químicos,30 a 49,607,23227,22479,22827.45,1033561.982,3.489838,3482.85804354643
20,Fabricação de produtos químicos,50 a 99,627,43741,43158,43862.7,2417492.53,4.248111,4239.61506806817
20,Fabricação de produtos químicos,100 a 249,417,65247,64922,66814.85,4835169.353,5.577824,5566.66824930271
20,Fabricação de produtos químicos,250 a 499,119,41498,41391,42086.26,3094386.959,5.667094,5655.7595299968
20,Fabricação de produtos químicos,500 ou mais,66,54597,54567,56444.98,4979281.808,6.799351,6785.75273724008
21,Fabricação de produtos farmoquímicos e farmacêuticos,0 a 4,348,499,166,253.01,14339.07,4.368269,4359.53276398318
21,Fabricação de produtos farmoquímicos e farmacêuticos,5 a 9,100,666,507,561.07,22295.365,3.062835,3056.7096385889
21,Fabricação de produtos farmoquímicos e farmacêuticos,10 a 19,105,1448,1307,1567.28,86508.825,4.254416,4245.90692154561
21,Fabricação de produtos farmoquímicos e farmacêuticos,20 a 29,59,1426,1364,1382.25,68546.724,3.822313,3814.6680579323
21,Fabricação de produtos farmoquímicos e farmacêuticos,30 a 49,62,2344,2274,2462.97,124134.498,3.884718,3876.94837471083
