ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Santa Catarina,Santo Amaro da Imperatriz - SC,1038.0,7020.0,5809.0,5689.6,151754.82,2.055828,2051.71676256814,1028.0
Santa Catarina,São Bernardino - SC,81.0,455.0,395.0,404.82,10962.306,2.08721,2083.03519512946,81.0
Santa Catarina,São Bento do Sul - SC,3658.0,32265.0,28218.0,29087.93,885628.873,2.34674,2342.04695635189,3487.0
Santa Catarina,São Bonifácio - SC,113.0,594.0,483.0,472.05,11793.033,1.925589,1921.73791889712,112.0
Santa Catarina,São Carlos - SC,477.0,2901.0,2432.0,2688.2,68072.101,1.951793,1947.88909364573,465.0
Santa Catarina,São Cristovão do Sul - SC,163.0,1534.0,1403.0,1514.9,40219.185,2.046329,2042.23609580729,160.0
Santa Catarina,São Domingos - SC,385.0,1676.0,1291.0,1340.23,35196.766,2.024182,2020.13351324887,378.0
Santa Catarina,São Francisco do Sul - SC,1806.0,13003.0,11062.0,11285.15,532659.39,3.638047,3630.77134382522,1743.0
Santa Catarina,São João do Oeste - SC,249.0,1428.0,1222.0,1362.93,40858.517,2.310655,2306.0339460969,235.0
Santa Catarina,São João Batista - SC,1196.0,10911.0,9365.0,9956.15,242122.707,1.874434,1870.68531665198,1177.0
Santa Catarina,São João do Itaperiú - SC,193.0,1477.0,1220.0,1197.02,35378.656,2.278065,2273.50844340368,193.0
Santa Catarina,São João do Sul - SC,256.0,1276.0,976.0,1107.48,26865.925,1.869786,1866.04689509934,252.0
Santa Catarina,São Joaquim - SC,763.0,5594.0,4761.0,4930.83,119635.003,1.870098,1866.35770011571,740.0
Santa Catarina,São José - SC,11654.0,121144.0,107510.0,109136.45,3285263.755,2.320206,2315.56548282871,11230.0
Santa Catarina,São José do Cedro - SC,714.0,3642.0,2933.0,3111.74,75810.546,1.877813,1874.05774953514,703.0
Santa Catarina,São José do Cerrito - SC,218.0,986.0,699.0,700.24,19154.91,2.108431,2104.21372013112,217.0
Santa Catarina,São Lourenço do Oeste - SC,1352.0,11544.0,9890.0,9913.33,307062.061,2.387441,2382.66642374071,1326.0
Santa Catarina,São Ludgero - SC,533.0,5592.0,4765.0,4813.91,152071.424,2.43487,2430.00011345327,523.0
Santa Catarina,São Martinho - SC,173.0,934.0,709.0,710.93,17253.585,1.87059,1866.8488404679,168.0
Santa Catarina,São Miguel da Boa Vista - SC,28.0,162.0,141.0,147.8,5806.919,3.02829,3022.23326740918,28.0
Santa Catarina,São Miguel do Oeste - SC,2369.0,16356.0,13667.0,14198.7,444074.41,2.410645,2405.8237725989,2302.0
Santa Catarina,São Pedro de Alcântara - SC,152.0,554.0,382.0,424.02,12704.965,2.309475,2304.85590302344,152.0
Santa Catarina,Saudades - SC,466.0,3359.0,2910.0,3016.29,83843.887,2.142518,2138.2326531039,453.0
Santa Catarina,Schroeder - SC,729.0,4867.0,3937.0,4077.34,132672.684,2.508018,2503.00222128228,714.0
Santa Catarina,Seara - SC,880.0,7800.0,7010.0,7020.55,187207.39,2.055313,2051.20232197455,843.0
Santa Catarina,Serra Alta - SC,146.0,1136.0,718.0,723.95,18194.277,1.937101,1933.22711406971,144.0
Santa Catarina,Siderópolis - SC,493.0,4073.0,3497.0,3575.99,109913.191,2.369079,2364.34130021444,487.0
Santa Catarina,Sombrio - SC,1339.0,8590.0,6971.0,7138.51,176728.988,1.908211,1904.39426973718,1270.0
Santa Catarina,Sul Brasil - SC,61.0,378.0,324.0,333.19,8352.744,1.93225,1928.3855134631,60.0
Santa Catarina,Taió - SC,1032.0,6650.0,5320.0,5470.23,153401.747,2.161478,2157.15507110586,1001.0
Santa Catarina,Tangará - SC,278.0,2408.0,2123.0,2205.27,65877.277,2.302502,2297.89678640432,263.0
Santa Catarina,Tigrinhos - SC,38.0,232.0,199.0,216.01,6898.04,2.461376,2456.45322688052,38.0
Santa Catarina,Tijucas - SC,1837.0,15723.0,13689.0,14169.67,464769.125,2.528155,2523.09836106601,1782.0
Santa Catarina,Timbé do Sul - SC,158.0,965.0,756.0,755.41,18657.536,1.903696,1899.88890393704,158.0
Santa Catarina,Timbó - SC,2585.0,21207.0,17895.0,18430.8,547518.022,2.289709,2285.12983283834,2521.0
Santa Catarina,Timbó Grande - SC,154.0,1467.0,1324.0,1415.02,32285.244,1.758602,1755.084951232,154.0
Santa Catarina,Três Barras - SC,450.0,5864.0,5382.0,5517.05,215663.377,3.012975,3006.94946365567,445.0
Santa Catarina,Treviso - SC,134.0,1791.0,1647.0,1818.23,76209.769,3.230635,3224.17401708085,133.0
Santa Catarina,Treze de Maio - SC,291.0,2244.0,1896.0,1954.5,43409.862,1.711902,1708.47795029222,289.0
Santa Catarina,Treze Tílias - SC,488.0,4259.0,3709.0,3760.1,126756.296,2.598342,2593.14494499942,476.0
Santa Catarina,Trombudo Central - SC,395.0,2583.0,2034.0,2103.21,65029.7,2.383171,2378.40473152211,386.0
Santa Catarina,Tubarão - SC,6026.0,45226.0,37823.0,38508.13,1200124.171,2.402149,2397.34424712592,5833.0
Santa Catarina,Tunápolis - SC,164.0,923.0,696.0,718.19,19605.898,2.104134,2099.92620337237,161.0
Santa Catarina,Turvo - SC,627.0,4993.0,4196.0,4495.71,127797.98,2.191048,2186.66547578777,608.0
Santa Catarina,União do Oeste - SC,65.0,334.0,278.0,290.82,9860.741,2.613433,2608.20623912227,62.0
Santa Catarina,Urubici - SC,497.0,2094.0,1408.0,1462.03,36536.284,1.926168,1922.31581063,485.0
Santa Catarina,Urupema - SC,55.0,448.0,342.0,441.72,11964.728,2.087766,2083.59071879854,55.0
