uf,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,L Atividades imobiliárias,0 a 4,117440,186161,25260,28004.92,631048.561,1.736819,1733.34531932246
Brasil,L Atividades imobiliárias,5 a 9,11699,72289,33582,33073.82,831022.337,1.936665,1932.79140884984
Brasil,L Atividades imobiliárias,10 a 19,3274,41638,30443,30166.29,825520.304,2.109269,2105.0504336514
Brasil,L Atividades imobiliárias,20 a 29,634,15108,13941,13711.26,422097.839,2.372804,2368.05840881593
Brasil,L Atividades imobiliárias,30 a 49,438,16508,15802,15479.5,574377.997,2.860006,2854.28617501559
Brasil,L Atividades imobiliárias,50 a 99,254,17298,16901,16709.56,585013.801,2.69853,2693.13265073315
Brasil,L Atividades imobiliárias,100 a 249,98,,,,,,
Brasil,L Atividades imobiliárias,250 a 499,17,,,,,,
Brasil,L Atividades imobiliárias,500 ou mais,6,,,,,,
Brasil,"M Atividades profissionais, científicas e técnicas",Total,393315,1635375,1080800,1062514.16,47975139.255,3.480227,3473.26696079767
Brasil,"M Atividades profissionais, científicas e técnicas",0 a 4,331796,526973,102618,120192.12,3003501,1.926096,1922.24364177567
Brasil,"M Atividades profissionais, científicas e técnicas",5 a 9,36495,234307,159183,159728.07,4317485.517,2.083415,2079.24800279914
Brasil,"M Atividades profissionais, científicas e técnicas",10 a 19,15633,204896,167760,166810.79,5436021.296,2.511789,2506.76520570218
Brasil,"M Atividades profissionais, científicas e técnicas",20 a 29,3981,94738,86603,85739.07,3235772.563,2.908877,2903.05903445455
Brasil,"M Atividades profissionais, científicas e técnicas",30 a 49,2614,98313,93172,88845.69,3998307.905,3.468694,3461.75651895395
Brasil,"M Atividades profissionais, científicas e técnicas",50 a 99,1639,111148,108226,101727.57,5125625.703,3.883599,3875.83130345853
Brasil,"M Atividades profissionais, científicas e técnicas",100 a 249,767,112894,111705,105707.86,7386722.792,5.386053,5375.28094446772
Brasil,"M Atividades profissionais, científicas e técnicas",250 a 499,232,79621,79230,75317.29,6007936.885,6.148325,6136.02787824477
Brasil,"M Atividades profissionais, científicas e técnicas",500 ou mais,158,172485,172303,158445.7,9463765.594,4.603728,4594.5201969459
Brasil,N Atividades administrativas e serviços complementares,Total,535279,5198817,4618939,4580108.91,116456550.267,1.959811,1955.89151926621
Brasil,N Atividades administrativas e serviços complementares,0 a 4,395185,582810,241605,286334.83,6749167.265,1.816779,1813.14551461416
Brasil,N Atividades administrativas e serviços complementares,5 a 9,79564,507594,412450,417226.92,10452800.511,1.931019,1927.15651657671
Brasil,N Atividades administrativas e serviços complementares,10 a 19,34376,442384,325965,327137.45,8237622.13,1.940876,1936.9938867263
Brasil,N Atividades administrativas e serviços complementares,20 a 29,8001,190955,181035,179063.03,4744396.094,2.042213,2038.12895209194
Brasil,N Atividades administrativas e serviços complementares,30 a 49,6909,262327,255354,251773.69,6759039.081,2.069192,2065.05327524034
Brasil,N Atividades administrativas e serviços complementares,50 a 99,5671,391245,385776,379170.37,10105584.977,2.054249,2050.14091828552
Brasil,N Atividades administrativas e serviços complementares,100 a 249,3098,467875,465095,449031.97,12966705.542,2.225761,2221.30929306916
Brasil,N Atividades administrativas e serviços complementares,250 a 499,1186,412928,411924,404790.42,12175126.417,2.318299,2313.66193380534
Brasil,N Atividades administrativas e serviços complementares,500 ou mais,1289,1940699,1939735,1885580.23,44266108.25,1.809474,1805.85540504951
Brasil,"O Administração pública, defesa e seguridade social",Total,22058,7669570,7669320,7836906.21,449176595.942,4.417724,4408.88852256563
Brasil,"O Administração pública, defesa e seguridade social",0 a 4,7513,6284,6121,16407.85,1038098.751,4.876555,4866.80156613591
Brasil,"O Administração pública, defesa e seguridade social",5 a 9,2430,15912,15892,16433.07,637153.135,2.988486,2982.5090269429
Brasil,"O Administração pública, defesa e seguridade social",10 a 19,1547,21108,21071,21297.28,900469.429,3.258899,3252.38148504627
Brasil,"O Administração pública, defesa e seguridade social",20 a 29,721,17411,17405,17707.29,841994.369,3.665078,3657.74760651599
Brasil,"O Administração pública, defesa e seguridade social",30 a 49,869,33278,33274,33605.65,1500040.376,3.440462,3433.58099696834
Brasil,"O Administração pública, defesa e seguridade social",50 a 99,1211,86233,86232,86527.68,4323734.041,3.851501,3843.79803353989
Brasil,"O Administração pública, defesa e seguridade social",100 a 249,2405,420826,420812,431519.64,19617800.051,3.504095,3497.08658077444
Brasil,"O Administração pública, defesa e seguridade social",250 a 499,2278,800716,800711,830134.49,35154486.997,3.264062,3257.5339779721
Brasil,"O Administração pública, defesa e seguridade social",500 ou mais,3084,6267802,6267802,6383273.26,385162818.793,4.650793,4641.49158764403
Brasil,P Educação,Total,208759,3466089,3257466,3380526.19,164155108.375,3.742796,3735.31081232243
Brasil,P Educação,0 a 4,144146,151868,40894,58537.63,1106274.941,1.456646,1453.73279349737
Brasil,P Educação,5 a 9,23348,155901,116631,120586.32,2272887.283,1.4528,1449.89484136917
Brasil,P Educação,10 a 19,18382,249678,218855,223453.71,4614307.547,1.591641,1588.45755742706
Brasil,P Educação,20 a 29,7821,187342,177287,179326.23,4123603.409,1.77239,1768.84475980323
Brasil,P Educação,30 a 49,7142,269928,260295,262903.7,6761831.179,1.982411,1978.44632815391
Brasil,P Educação,50 a 99,4848,328017,322175,327422.7,10500173.507,2.471803,2466.85906134369
Brasil,P Educação,100 a 249,2070,314282,312763,320370.12,14727392.434,3.543235,3536.14856802789
Brasil,P Educação,250 a 499,557,187371,187018,194415.77,10718050.878,4.249232,4240.7334145468
Brasil,P Educação,500 ou mais,445,1621702,1621548,1693510.01,109330587.197,4.975996,4966.04396746376
Brasil,Q Saúde humana e serviços sociais,Total,305413,3538232,3066308,3051540.06,115332371.591,2.913119,2907.29294624282
Brasil,Q Saúde humana e serviços sociais,0 a 4,234836,411270,110481,120940.97,2342135.506,1.492673,1489.687652516
Brasil,Q Saúde humana e serviços sociais,5 a 9,37616,239889,147371,145965.19,3000955.865,1.584661,1581.491853271
Brasil,Q Saúde humana e serviços sociais,10 a 19,17615,228399,172510,171061.34,3979557.56,1.793119,1789.53241163487
Brasil,Q Saúde humana e serviços sociais,20 a 29,4777,113792,104739,104900.54,2687321.494,1.974549,1970.60032293447
Brasil,Q Saúde humana e serviços sociais,30 a 49,3798,143588,137395,138148.95,3831624.87,2.137773,2133.49703067149
Brasil,Q Saúde humana e serviços sociais,50 a 99,2855,197093,192904,194346.72,5629055.766,2.232464,2227.998958214
Brasil,Q Saúde humana e serviços sociais,100 a 249,1992,309487,307413,307354.09,9402275.35,2.357871,2353.15544361228
Brasil,Q Saúde humana e serviços sociais,250 a 499,930,331103,330370,324357.89,10826326.528,2.572662,2567.51685093183
Brasil,Q Saúde humana e serviços sociais,500 ou mais,994,1563611,1563125,1544464.37,73633118.652,3.674696,3667.34653137634
Brasil,"R Artes, cultura, esporte e recreação",Total,77145,365035,275364,279215.13,8923267.244,2.463265,2458.33802994624
Brasil,"R Artes, cultura, esporte e recreação",0 a 4,61317,92167,27053,31987.68,565382.943,1.362342,1359.61706555101
Brasil,"R Artes, cultura, esporte e recreação",5 a 9,8381,54255,40668,40117.61,742379.383,1.42632,1423.46730985758
Brasil,"R Artes, cultura, esporte e recreação",10 a 19,4729,63124,54803,54450.21,1163251.706,1.646646,1643.35271547233
Brasil,"R Artes, cultura, esporte e recreação",20 a 29,1271,29941,28564,27828.18,647733.789,1.794064,1790.47555668114
Brasil,"R Artes, cultura, esporte e recreação",30 a 49,738,27854,27062,25997.9,644689.003,1.911341,1907.51798296135
Brasil,"R Artes, cultura, esporte e recreação",50 a 99,410,27811,27497,26578.24,791049.105,2.294052,2289.46428182777
Brasil,"R Artes, cultura, esporte e recreação",100 a 249,218,32015,31877,30357.2,1325893.423,3.366457,3359.72361644785
Brasil,"R Artes, cultura, esporte e recreação",250 a 499,57,,,,,,
Brasil,"R Artes, cultura, esporte e recreação",500 ou mais,24,,,,,,
Brasil,S Outras atividades de serviços,Total,295587,1013573,788582,789985.29,22303110.978,2.176068,2171.71628776102
Brasil,S Outras atividades de serviços,0 a 4,250156,281614,127801,140456.36,2937990.264,1.61226,1609.03536925578
Brasil,S Outras atividades de serviços,5 a 9,26672,170727,134895,133767.26,3156400.184,1.81873,1815.09297681545
Brasil,S Outras atividades de serviços,10 a 19,12363,157231,126874,126448.39,3423191.557,2.086623,2082.44982369122
Brasil,S Outras atividades de serviços,20 a 29,2635,62579,60090,59715.14,1771173.571,2.28614,2281.56746925744
Brasil,S Outras atividades de serviços,30 a 49,1832,69013,67715,67366.95,2208142.47,2.526424,2521.37157874778
Brasil,S Outras atividades de serviços,50 a 99,1232,83755,82888,83151,2806620.157,2.60161,2596.40723780555
Brasil,S Outras atividades de serviços,100 a 249,495,74654,74410,72441.74,2743759.956,2.919331,2913.4923892475
Brasil,S Outras atividades de serviços,250 a 499,135,44787,44728,42965.23,1669725.34,2.995394,2989.40354256758
Brasil,S Outras atividades de serviços,500 ou mais,67,69213,69181,63673.22,1586107.479,1.920003,1916.16298995692
Brasil,U Organismos internacionais e outras instituições extraterritoriais,Total,270,2774,2677,2672.53,203493.489,5.868864,5857.12613429683
Brasil,U Organismos internacionais e outras instituições extraterritoriais,0 a 4,95,,,,,,
Brasil,U Organismos internacionais e outras instituições extraterritoriais,5 a 9,91,602,566,560.72,33068.529,4.545639,4536.54765301755
Brasil,U Organismos internacionais e outras instituições extraterritoriais,10 a 19,51,703,691,679.51,53032.903,6.015554,6003.52324016288
Brasil,U Organismos internacionais e outras instituições extraterritoriais,20 a 29,18,,,,,,
Brasil,U Organismos internacionais e outras instituições extraterritoriais,30 a 49,9,343,341,338.94,28213.546,6.41595,6403.11786519965
Brasil,U Organismos internacionais e outras instituições extraterritoriais,50 a 99,5,364,363,373.91,35261.484,7.268748,7254.21049491548
Brasil,U Organismos internacionais e outras instituições extraterritoriais,100 a 249,1,,,,,,
Brasil,U Organismos internacionais e outras instituições extraterritoriais,250 a 499,-,-,-,-,-,-,-
Brasil,U Organismos internacionais e outras instituições extraterritoriais,500 ou mais,-,-,-,-,-,-,-
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",Total,375,1849,1362,1331.38,27368.287,1.584425,1581.25617491163
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,266,405,131,156,2951.198,1.458142,1455.2258382643
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,62,401,275,282.11,4875.616,1.332101,1329.43668999817
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,28,353,289,291.34,5180.57,1.370577,1367.83615231477
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,9,225,218,204.85,3763.122,1.415919,1413.08724958225
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,7,240,225,222.69,5226.697,1.809059,1805.44081631243
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,2,,,,,,
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,1,,,,,,
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,-,-,-,-,-,-,-
Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,-,-,-,-,-,-,-
Rondônia,B Indústrias extrativas,Total,201,1565,1298,1475.35,38998.527,2.037414,2033.33899909018
Rondônia,B Indústrias extrativas,0 a 4,133,226,81,134.51,2969.831,1.701779,1698.37587139646
Rondônia,B Indústrias extrativas,5 a 9,26,172,136,240.38,4773.184,1.530509,1527.44820700557
Rondônia,B Indústrias extrativas,10 a 19,23,308,235,277.13,6536.079,1.817858,1814.22187310038
Rondônia,B Indústrias extrativas,20 a 29,11,277,269,296.26,7822.655,2.035201,2031.13040001246
Rondônia,B Indústrias extrativas,30 a 49,3,,,,,,
Rondônia,B Indústrias extrativas,50 a 99,4,,,,,,
Rondônia,B Indústrias extrativas,100 a 249,1,,,,,,
Rondônia,B Indústrias extrativas,250 a 499,-,-,-,-,-,-,-
Rondônia,B Indústrias extrativas,500 ou mais,-,-,-,-,-,-,-
Rondônia,C Indústrias de transformação,Total,2442,37147,34042,35473.67,780534.084,1.695945,1692.55347373461
Rondônia,C Indústrias de transformação,0 a 4,1367,2722,1132,1457.77,23528.632,1.244038,1241.55029204248
Rondônia,C Indústrias de transformação,5 a 9,463,3062,2351,2513.99,44180.469,1.354543,1351.83418207098
Rondônia,C Indústrias de transformação,10 a 19,309,4221,3778,3870.31,75014.847,1.493921,1490.93298628633
Rondônia,C Indústrias de transformação,20 a 29,128,3089,2920,3074.36,58843.809,1.475272,1472.32166895024
Rondônia,C Indústrias de transformação,30 a 49,82,3156,3045,3236.33,66563.704,1.585298,1582.12695339379
Rondônia,C Indústrias de transformação,50 a 99,44,3075,3031,3075.69,67730.593,1.697338,1693.94367292693
Rondônia,C Indústrias de transformação,100 a 249,31,4726,4690,4872.28,124476.037,1.969154,1965.21541644379
Rondônia,C Indústrias de transformação,250 a 499,5,1650,1649,1598.22,40496.108,1.953003,1949.09663924193
Rondônia,C Indústrias de transformação,500 ou mais,13,11446,11446,11774.72,279699.885,1.830913,1827.25158383645
Rondônia,D Eletricidade e gás,Total,85,2638,2561,2571.57,208784.198,6.257853,6245.33764318176
Rondônia,D Eletricidade e gás,0 a 4,53,59,32,32.79,983.222,2.311193,2306.57095268257
