codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
10.8,Torrefação e moagem de café,1764,25890,23223,16013,7210,3283,19940,23723.59,16327.17,7396.42,3323.06,20400.53,877727.888,650821.879,226906.009,288712.118,589015.77,2.851712,3.072397,2.364561,6.696578,2.225418,2846.00812297607,3066.25223241618,2359.83197068519,6683.18491436762,2220.96707216015
10.9,Fabricação de outros produtos alimentícios,31352,435466,391980,222532,169448,28778,363202,401027.13,228934.42,172092.71,29525.15,371501.98,11391019.112,7304808.507,4086210.605,2687484.723,8703534.389,2.189349,2.45937,1.83014,7.015845,1.805762,2184.96997792797,2454.45113361419,1826.47999843984,7001.81350736315,1802.1509476415
11,Fabricação de bebidas,5326,182632,174060,145601,28459,24469,149591,178232.62,149263.06,28969.56,25290.36,152942.26,7568700.247,6277123.212,1291577.035,2501953.578,5066746.669,3.273107,3.241413,3.436406,7.625184,2.553453,3266.56092082186,3234.93054270968,3429.53360753096,7609.93388541964,2548.34565521152
11.1,Fabricação de bebidas alcoólicas,3651,89204,83170,68818,14352,14506,68664,85960.71,71347.18,14613.53,14889.93,71070.78,4412542.076,3648152.408,764389.668,1613156.395,2799385.681,3.956535,3.941144,4.031677,8.350451,3.035972,3948.62156837073,3933.26138899523,4023.61409124074,8333.74995460277,3029.90005283357
11.2,Fabricação de bebidas não-alcoólicas,1675,93428,90890,76783,14107,9963,80927,92271.91,77915.88,14356.03,10400.43,81871.48,3156158.171,2628970.804,527187.367,888797.183,2267360.988,2.636425,2.600674,2.830458,6.586846,2.134588,2631.15175321754,2595.47249398474,2824.79727226924,6573.67186519433,2130.31917454415
12,Fabricação de produtos do fumo,253,15974,15706,10816,4890,3422,12284,24918.93,15406.9,9512.03,4049.37,20869.56,1186447.024,872180.544,314266.48,515763.54,670683.484,3.669823,4.363322,2.546543,9.817237,2.477025,3662.48292732905,4354.59508901356,2541.44957652411,9797.60270401037,2472.07115199215
12.1,Processamento industrial do fumo,31,5313,5287,3418,1869,980,4307,11032,5893.53,5138.47,1083.64,9948.36,385937.097,277807.886,108129.211,130531.172,255405.925,2.696425,3.633249,1.621942,9.284431,1.978817,2691.03236040609,3625.98262579734,1618.69809795223,9265.86263391475,1974.85913410699
12.2,Fabricação de produtos do fumo,222,10661,10419,7398,3021,2442,7977,13886.93,9513.37,4373.56,2965.73,10921.2,800509.927,594372.658,206137.269,385232.368,415277.559,4.443105,4.815602,3.632851,10.011918,2.930854,4434.21884407192,4805.97030203889,3625.58487822277,9991.89375867765,2924.99245645026
13,Fabricação de produtos têxteis,10930,256691,241123,152787,88336,14822,226301,254362.48,161301.96,93060.52,15494.73,238867.75,6977368.163,4847741.135,2129627.028,1101829.163,5875539,2.114291,2.316466,1.76386,5.480957,1.895904,2110.06209690626,2311.83281486951,1760.33256307087,5469.99460213495,1892.11200951798
13.1,Preparação e fiação de fibras têxteis,702,31664,30517,19707,10810,1506,29011,31988.93,20567.35,11421.58,1603.18,30385.75,817691.57,576928.047,240763.523,105767.785,711923.785,1.970225,2.162068,1.624765,5.085073,1.805883,1966.28494727587,2157.74421782396,1621.51567471401,5074.90329316637,1802.2713961947
