codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
12,Fabricação de produtos do fumo,115,6313,6193,4478,1715,1798,4395,11428.47,6965.08,4463.39,1975.7,9452.77,533339.6,391079.853,142259.747,237761.825,295577.775,3.597012,4.327783,2.45665,9.275711,2.410121,3589.81762886223,4319.12707612613,2451.73678785373,9257.16007179539,2405.30044876549
12.1,Processamento industrial do fumo,25,3622,3598,2628,970,914,2684,8348.82,4779.63,3569.19,985.41,7363.41,346669.867,256204.658,90465.209,121804.797,224865.07,3.200495,4.131606,1.953611,9.527381,2.353798,3194.09363792175,4123.34231214228,1949.70349876841,9508.3262492067,2349.09003802899
12.2,Fabricação de produtos do fumo,90,2691,2595,1850,745,884,1711,3079.65,2185.45,894.2,990.29,2089.36,186669.733,134875.195,51794.538,115957.028,70712.705,4.671955,4.756827,4.464526,9.025282,2.608617,4662.6110859251,4747.31291038459,4455.59743991191,9007.23160348523,2603.39953198771
13,Fabricação de produtos têxteis,3666,84194,78935,47666,31269,5294,73641,82070.3,49395.86,32674.44,5430.18,76640.12,2474217.236,1671377.459,802839.777,380105.261,2094111.975,2.323689,2.608015,1.893855,5.395302,2.106056,2319.0411484938,2602.7990371289,1890.06776927399,5384.51142149417,2101.84348013105
13.1,Preparação e fiação de fibras têxteis,156,9318,9090,5132,3958,486,8604,9399.54,5296.07,4103.47,487.43,8912.11,265435.602,171284.976,94150.626,30451.098,234984.504,2.1766,2.492824,1.768471,4.815227,2.032286,2172.24707068316,2487.83860194737,1764.93451789677,4805.59701669194,2028.22127160943
13.2,"Tecelagem, exceto malha",313,16357,15889,9647,6242,1119,14770,16675,10049.95,6625.05,1182.53,15492.47,513014.69,343934.53,169080.16,87065.327,425949.363,2.371319,2.637776,1.967114,5.674913,2.119158,2366.57681928267,2632.50088882953,1963.1800746932,5663.56273934179,2114.92006215824
13.3,Fabricação de tecidos de malha,448,14427,13749,9114,4635,1207,12542,14124.78,9361.52,4763.26,1224.25,12900.53,484183.996,342726.794,141457.202,83068.935,401115.061,2.642134,2.82181,2.289006,5.229915,2.396556,2636.84976114536,2816.16655612139,2284.42773032949,5219.45523947158,2391.76256264725
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",1175,18213,16577,11656,4921,710,15867,17176.19,12014.95,5161.24,713.02,16463.17,494213.132,380666.895,113546.237,34829.653,459383.479,2.217755,2.44202,1.695684,3.765074,2.150741,2213.31941304974,2437.13613840706,1692.29214744459,3757.54407579462,2146.43903284165
13.5,"Fabricação de artefatos têxteis, exceto vestuário",1574,25879,23630,12117,11513,1772,21858,24694.79,12673.37,12021.42,1822.95,22871.84,717369.816,432764.264,284605.552,144690.248,572679.568,2.23905,2.631997,1.824793,6.117734,1.929908,2234.5722939317,2626.73296599332,1821.14382237962,6105.49882164792,1926.04855846921
14,Confecção de artigos do vestuário e acessórios,15799,203233,180754,42034,138720,11441,169313,190999.84,44597.08,146402.76,12090.57,178909.27,4343312.246,1214162.495,3129149.751,625729.071,3717583.175,1.752727,2.09844,1.647416,3.989015,1.6016,1749.22105693911,2094.24282935116,1644.12082804996,3981.03691236546,1598.39641924905
14.1,Confecção de artigos do vestuário e acessórios,15262,198542,176896,41237,135659,11301,165595,186755.66,43736.25,143019.41,11930.56,174825.1,4249999.637,1191402.335,3058597.302,619805.835,3630193.802,1.754047,2.099631,1.648365,4.004248,1.600487,1750.53890736163,2095.43190057535,1645.06842489744,3996.23923127472,1597.28595651839
14.2,Fabricação de artigos de malharia e tricotagem,537,4691,3858,797,3061,140,3718,4244.18,860.83,3383.35,160.01,4084.17,93312.609,22760.16,70552.449,5923.236,87389.373,1.694621,2.037905,1.607279,2.853238,1.649229,1691.23199298804,2033.829604523,1604.06445136875,2847.53164465682,1645.93037545902
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",4636,127459,121131,55624,65507,2532,118599,128401.89,58847.53,69554.36,2657.89,125744,2790353.38,1444202.735,1346150.645,141414.672,2648938.708,1.674996,1.891586,1.491748,4.100941,1.623719,1671.64648193502,1887.80256498315,1488.76432211273,4092.73961386953,1620.47108410739
15.1,Curtimento e outras preparações de couro,260,12804,12407,9197,3210,417,11990,13338.41,9829.51,3508.9,465.24,12873.17,381705.566,296244.852,85460.714,31138.842,350566.724,2.205721,2.322978,1.877248,5.158834,2.098994,2201.30934761974,2318.33179257781,1873.49342441309,5148.51590246225,2094.7964702496
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,855,7612,6408,2257,4151,193,6215,6766.62,2363.92,4402.7,207.93,6558.69,146664.583,57970.659,88693.924,7839.795,138824.788,1.670627,1.890173,1.552748,2.906121,1.631458,1667.28603054405,1886.39271275613,1549.64216014299,2900.30853578682,1628.19554608525
15.3,Fabricação de calçados,2843,91035,87191,36291,50900,1686,85505,92195.15,38265.46,53929.69,1735.59,90459.56,1908731.278,887765.011,1020966.267,90409.501,1818321.777,1.595743,1.788205,1.459182,4.015069,1.549324,1592.55104984456,1784.62812757953,1456.26401138793,4007.03910485771,1546.22580436028
15.4,"Fabricação de partes para calçados, de qualquer material",678,16008,15125,7879,7246,236,14889,16101.71,8388.64,7713.07,249.13,15852.58,353251.953,202222.213,151029.74,12026.534,341225.419,1.690981,1.858076,1.50925,3.720836,1.659081,1687.59884222521,1854.35956795784,1506.23192939936,3713.39461325412,1655.7626048155
16,Fabricação de produtos de madeira,7822,100507,88967,71170,17797,4351,84616,94126.92,75160.57,18966.35,4487.29,89639.63,2410322.621,1996434.568,413888.053,304481.198,2105841.423,1.973729,2.047345,1.681997,5.230009,1.810722,1969.78114639909,2043.2507343432,1678.63308113905,5219.54912996143,1807.10029447055
16.1,Desdobramento de madeira,3685,37703,32271,26933,5338,1153,31118,33639.94,28062.45,5577.49,1183.8,32456.14,810429.435,688024.807,122404.628,81902.259,728527.176,1.85689,1.889751,1.691551,5.332657,1.730115,1853.17589060001,1885.97165086606,1688.16808553393,5321.99169558267,1726.65486407194
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",4137,62804,56696,44237,12459,3198,53498,60486.98,47098.12,13388.86,3303.49,57183.49,1599893.186,1308409.761,291483.425,222578.939,1377314.247,2.038709,2.141245,1.678017,5.193225,1.856472,2034.63136389657,2136.96225438102,1674.66101841956,5182.83901151626,1852.75942005692
17,"Fabricação de celulose, papel e produtos de papel",1548,44417,42184,31850,10334,4006,38178,43188.61,32551.77,10636.84,4143.86,39044.75,1607129.426,1290453.203,316676.223,378491.591,1228637.835,2.868189,3.055581,2.294716,7.040075,2.425422,2862.45240264825,3049.46953729398,2290.12652832406,7025.99454837537,2420.5713365384
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,24,1371,1347,1111,236,244,1103,1399.96,1159.2,240.76,244.74,1155.22,128125.937,109667.636,18458.301,39249.675,88876.262,7.054196,7.291993,5.909265,12.361103,5.929898,7040.08779371718,7277.40855762595,5897.44686697254,12336.3805231297,5918.03772308438
17.2,"Fabricação de papel, cartolina e papel-cartão",103,11099,10939,9112,1827,1609,9330,11289.21,9390.45,1898.76,1686.08,9603.13,508724.089,431002.749,77721.34,173748.598,334975.491,3.47332,3.53769,3.154978,7.94272,2.688601,3466.3738411075,3530.61435984267,3148.66787555279,7926.83429566258,2683.22364286836
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",670,17602,16652,12447,4205,1009,15643,17261.93,12872.85,4389.08,1070.6,16191.33,533953.613,419845.764,114107.849,84438.922,449514.691,2.384187,2.51386,2.003863,6.079132,2.13987,2379.41845704124,2508.8327759587,1999.8557433799,6066.97337222837,2135.59066203
