codigo_cnae,atividade,tipo_empresa,total_empresas,pessoal_ocupado_total,numero_empresas_percent_total,pessoal_ocupado_percent_total,numero_empresas_mais_de_um_local_pct,pessoal_ocupado_mais_de_um_local_pct
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",Mais de uma unidade local - diversificada,658,85650,1.48,18.35,64.38,82.21
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",Mais de uma unidade local - diversificada - espacial,108,18264,0.24,3.91,10.57,17.53
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",Mais de uma unidade local - diversificada - atividade,373,18216,0.84,3.9,36.5,17.48
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",Mais de uma unidade local - diversificada - mista,177,49170,0.4,10.54,17.32,47.2
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Unidade local única,3682,50077,92.54,39.5,,
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local,297,76694,7.46,60.5,100,100
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local - não diversificada,62,10657,1.56,8.41,20.88,13.9
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local - diversificada,235,66037,5.91,52.09,79.12,86.1
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local - diversificada - espacial,40,5198,1.01,4.1,13.47,6.78
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local - diversificada - atividade,57,6111,1.43,4.82,19.19,7.97
26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Mais de uma unidade local - diversificada - mista,138,54728,3.47,43.17,46.46,71.36
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Unidade local única,4847,82035,92.39,38.39,,
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local,399,131659,7.61,61.61,100,100
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local - não diversificada,93,7493,1.77,3.51,23.31,5.69
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local - diversificada,306,124166,5.83,58.1,76.69,94.31
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local - diversificada - espacial,51,7087,0.97,3.32,12.78,5.38
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local - diversificada - atividade,109,17591,2.08,8.23,27.32,13.36
27,"Fabricação de máquinas, aparelhos e materiais elétricos",Mais de uma unidade local - diversificada - mista,146,99488,2.78,46.56,36.59,75.56
28,Fabricação de máquinas e equipamentos,Unidade local única,15731,217322,94.91,59.22,,
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local,844,149629,5.09,40.78,100,100
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local - não diversificada,225,22965,1.36,6.26,26.66,15.35
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local - diversificada,619,126664,3.73,34.52,73.34,84.65
