codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
42.9,Construção de outras obras de infraestrutura,5697,103232,95265,87764,7501,6871,88394,98778.06,91024.91,7753.15,7562.85,91215.21,4082584.806,3688098.862,394485.944,942565.89,3140018.916,3.18567,3.122974,3.921746,9.606216,2.653329,3179.29897668493,3116.728294063,3913.90242873988,9587.00337327045,2648.02237056062
43,Serviços especializados para construção,54033,422472,350670,316574,34096,19323,331347,349972.83,316425.42,33547.41,19094.87,330877.96,10195683.674,9203668.773,992014.901,1252893.602,8942790.072,2.245475,2.241897,2.279215,5.057357,2.083202,2240.98356303391,2237.4135459787,2274.65662888615,5047.24205627359,2079.0352086775
43.1,Demolição e preparação do terreno,5103,47918,41052,37849,3203,1711,39341,41421.54,38272.63,3148.91,1731.87,39689.67,1281433.833,1192347.267,89086.566,112409.535,1169024.298,2.384493,2.401268,2.18061,5.00281,2.270242,2379.72401092988,2396.46505971661,2176.2491685157,4992.80391004654,2265.70152888648
43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",21816,187393,157901,138848,19053,10861,147040,154931.04,136339.41,18591.63,10611.64,144319.4,4848836.084,4315186.341,533649.743,694035.899,4154800.185,2.412266,2.439519,2.212407,5.041103,2.218971,2407.44134343204,2434.64021771954,2207.98177624927,5031.0203555863,2214.53258696176
43.3,Obras de acabamento,13654,73588,56015,52170,3845,1368,54647,56193.14,52208.09,3985.05,1358.03,54835.11,1325829.393,1218359.703,107469.69,61840.802,1263988.591,1.818572,1.798721,2.078635,3.509877,1.776685,1814.93464121449,1795.12365140817,2074.47816985213,3502.8569098111,1773.13206110801
43.9,Outros serviços especializados para construção,13460,113573,95702,87707,7995,5383,90319,97427.11,89605.29,7821.82,5393.33,92033.78,2739584.364,2477775.462,261808.902,384607.366,2354976.998,2.16736,2.131348,2.579899,5.496506,1.972266,2163.02483743211,2127.08549307232,2574.73916654849,5485.51303183747,1968.32159636636
G,Comércio; reparação de veículos automotores e motocicletas,839964,5822630,4670963,2563156,2107807,414066,4256897,4782873.33,2631217.34,2151655.99,433166.04,4349707.29,132892064.849,78750329.584,54141735.265,32782872.225,100109192.624,2.14159,2.306863,1.939481,5.833359,1.773945,2137.30655644316,2302.24906480272,1935.6016416632,5821.69230515642,1770.39662936102
45,Comércio e reparação de veículos automotores e motocicletas,108253,577281,429773,333851,95922,33102,396671,437533.08,339765.76,97767.32,34346.97,403186.11,12641288.669,9959601.048,2681687.621,1941737.876,10699550.793,2.22693,2.259376,2.114173,4.357409,2.045437,2222.47611698825,2254.85686826848,2109.94495045835,4348.69369845433,2041.34603915871
45.1,Comércio de veículos automotores,15801,125790,105265,72879,32386,14787,90478,111037.32,77084.18,33953.14,15687.23,95350.09,4378984.69,3219464.905,1159519.785,1040101.113,3338883.577,3.039699,3.219175,2.632233,5.110406,2.699021,3033.61947274886,3212.73634276789,2626.96851058207,5100.18517756653,2693.62302889037
45.2,Manutenção e reparação de veículos automotores,34776,141391,94578,79355,15223,3101,91477,94298.37,79187.13,15111.24,3091.34,91207.03,2141108.068,1825489.481,315618.587,104027.132,2037080.936,1.750091,1.77685,1.609862,2.593737,1.721496,1746.5903240468,1773.2965921259,1606.64199934313,2588.54965061206,1718.05324149313
45.3,Comércio de peças e acessórios para veículos automotores,50571,275724,204967,163103,41864,13680,191287,206795.96,164705.26,42090.7,13992.46,192803.5,5459599.533,4419790.944,1039808.589,713113.716,4746485.817,2.034908,2.068333,1.904116,3.928175,1.897507,2030.83848855729,2064.19587795333,1900.30757570967,3920.31860235936,1893.71195862826
45.4,"Comércio, manutenção e reparação de motocicletas, peças e acessórios",7105,34376,24963,18514,6449,1534,23429,25401.43,18789.19,6612.24,1575.94,23825.49,661596.378,494855.718,166740.66,84495.915,577100.463,2.007525,2.030003,1.943654,4.132588,1.866963,2003.51039594712,2025.9428140084,1939.76694968492,4124.3231146051,1863.22897483713
46,"Comércio por atacado, exceto veículos automotores e motocicletas",141067,990438,795885,524321,271564,159849,636036,813508.4,538306.24,275202.16,164170.75,649337.65,37878568.532,25607540.144,12271028.388,18750443.596,19128124.936,3.588869,3.666609,3.436808,8.803226,2.270534,3581.69140100222,3659.27539741633,3429.93405507931,8785.61994190148,2265.99247070635
46.1,"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas",55790,92129,15445,7803,7642,3123,12322,14801.97,7522.75,7279.22,2995.87,11806.1,605902.356,367403.735,238498.621,322571.164,283331.192,3.155072,3.764376,2.525382,8.299056,1.849754,3148.76151880199,3756.847664648,2520.33154228486,8282.45767057264,1846.05475787289
46.2,Comércio atacadista de matérias-primas agrícolas e animais vivos,3715,39671,34364,26614,7750,6794,27570,35387.28,27607.68,7779.6,6922.99,28464.29,1641662.971,1320844.657,320818.314,722668.653,918994.318,3.575715,3.687635,3.178542,8.045844,2.488505,3568.56381728124,3680.25981009075,3172.18518254844,8029.75251800384,2483.52833024764
