codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
23.3,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",2101,18277,15468,13973,1495,549,14919,15911.01,14396.92,1514.09,571.15,15339.86,296340.702,265138.396,31202.306,25699.017,270641.685,1.435554,1.41948,1.588404,3.468107,1.359876,1432.68331899638,1416.64058915165,1585.22768436182,3461.17037825171,1357.15652905868
23.4,Fabricação de produtos cerâmicos,1561,32004,29770,27846,1924,664,29106,30956.34,28935.79,2020.55,700.79,30255.55,569470.783,522405.59,47065.193,40648.304,528822.479,1.417908,1.391549,1.79538,4.470753,1.347197,1415.07183491827,1388.76613994694,1791.78909778944,4461.81112085591,1344.5021568198
23.9,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,1381,11036,9144,8031,1113,328,8816,9384.42,8240.34,1144.08,338.82,9045.6,185871.19,161184.882,24686.308,15463.518,170407.672,1.526619,1.507666,1.663129,3.517753,1.452038,1523.56606440823,1504.6511523703,1659.80243447204,3510.71773984825,1449.13355239436
24,Metalurgia,270,19282,18923,17075,1848,2313,16610,19735.3,17816.34,1918.96,2467.92,17267.38,1027462.204,916371.664,111090.54,328871.786,698590.418,4.012807,3.964416,4.462079,10.271211,3.118332,4004.78098401576,3956.48758386964,4453.15491403998,10250.6684545316,3112.09485524373
24.1,Produção de ferro-gusa e de ferroligas,16,4974,4944,4481,463,509,4435,5151.65,4687.67,463.98,532.11,4619.54,266555.243,239721.5,26833.743,71931.059,194624.184,3.988109,3.941632,4.457672,10.419362,3.247313,3980.13247436034,3933.7486181014,4448.75657770395,10398.5235846261,3240.81858300244
24.2,Siderurgia,34,5111,5063,4569,494,811,4252,5410.95,4896.7,514.25,868.52,4542.43,278485.508,250705.645,27779.863,114776.488,163709.02,3.966936,3.946269,4.163724,10.185895,2.777861,3959.00205210659,3938.37678750681,4155.39628286152,10165.5236671402,2772.30503022865
24.3,"Produção de tubos de aço, exceto tubos sem costura",26,2505,2466,2290,176,127,2339,2524.6,2344.22,180.38,136.18,2388.42,72159.654,66413.177,5746.477,11440.115,60719.539,2.203068,2.183645,2.455497,6.475051,1.959494,2198.66221000737,2179.27750939627,2450.58594249746,6462.10050046884,1955.57471852973
24.4,Metalurgia dos metais não-ferrosos,106,6081,5956,5293,663,857,5099,6211.12,5510.26,700.86,920.57,5290.55,402321.608,352778.237,49543.371,130432.274,271889.334,4.992632,4.934644,5.448543,10.920798,3.961115,4982.64660801917,4924.77441382774,5437.64594706723,10898.9559144376,3953.19279731713
24.5,Fundição,88,611,494,442,52,9,485,436.98,377.49,59.49,10.54,426.44,7940.191,6753.105,1187.086,291.85,7648.341,1.40054,1.378873,1.538028,2.13425,1.382405,1397.73885092435,1376.11490472493,1534.95222209292,2129.98102466793,1379.64056626237
25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",3922,31626,26601,23463,3138,1396,25205,27566.86,24262.75,3304.11,1489.8,26077.06,708463.29,619620.341,88842.949,118971.153,589492.137,1.980871,1.968393,2.0725,6.155167,1.742391,1976.90909134541,1964.45593157602,2068.3551697734,6142.85619133183,1738.90572786963
