codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
02.1,Produção florestal - florestas plantadas,381,3391,2812,2318,494,139,2673,2644.84,2188.4,456.44,136.57,2508.27,63925.691,53505.377,10420.314,11836.021,52089.67,1.862954,1.884503,1.759638,6.680001,1.600676,1859.22809930047,1880.73397494481,1756.11825296778,6666.6409449085,1597.47463084424
02.2,Produção florestal - florestas nativas,170,,,,,,,,,,,,,,,,,,,,,,,,,,
02.3,Atividades de apoio à produção florestal,217,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Pesca e aquicultura,114,373,199,155,44,4,195,197.68,156.87,40.81,3.69,193.99,3568.912,2660.218,908.694,83.827,3485.085,1.391551,1.307084,1.716237,1.75099,1.384714,1388.76817233758,1304.46964904796,1712.80417695512,1747.48801334167,1381.94474735018
03.1,Pesca,20,49,22,15,7,,22,25.4,18.88,6.52,,25.4,433.672,328.475,105.197,,433.672,1.315994,1.340993,1.243603,,1.315994,1313.36159903089,1338.31078878748,1241.11609249646,,1313.36159903089
03.2,Aquicultura,94,324,177,140,37,4,173,172.28,137.99,34.29,3.69,168.59,3135.24,2331.743,803.497,83.827,3051.413,1.402691,1.302444,1.806105,1.75099,1.395068,1399.88569591541,1299.83945324912,1802.49231666555,1747.48801334167,1392.27757828505
B,Indústrias extrativas,1068,11419,9927,8738,1189,935,8992,10305.51,9080.23,1225.28,1018.9,9286.61,406950.682,361246.152,45704.53,95293.551,311657.131,3.043676,3.066426,2.87508,7.208718,2.586699,3037.58849541504,3060.29313557713,2869.33033830886,7194.30086745132,2581.52603173154
05,Extração de carvão mineral,2,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0,Extração de carvão mineral,2,,,,,,,,,,,,,,,,,,,,,,,,,,
06,Extração de petróleo e gás natural,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.0,Extração de petróleo e gás natural,,,,,,,,,,,,,,,,,,,,,,,,,,,
