unidade_federativa,participacao_num_mun_uf,partipacao_total_pop_uf,year,participacao_percentual_pib_uf
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2013,45.90703428814685
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2013,43.492715819459725
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2013,34.207081955533
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2013,32.76543216028452
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2013,53.8965702074301
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2013,41.2054452803183
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2013,49.74385441022215
Distrito Federal (1 município),100.0,100.0,2013,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2014,62.15254472829275
Acre (22 municípios),22.727272727272727,69.21008917890775,2014,78.25630836273471
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2014,85.79268076339352
Roraima (15 municípios),33.33333333333333,79.49735951967855,2014,86.85651911237463
Pará (144 municípios),3.4722222222222223,29.618621238389768,2014,48.38846692365757
Amapá (16 municípios),31.25,83.96889791198385,2014,88.80111364596132
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2014,50.83817403783432
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2014,51.180143482686645
Piauí (224 municípios),2.232142857142857,35.977889709451865,2014,59.66367487513482
Ceará (184 municípios),2.717391304347826,40.97391634193225,2014,60.59130721735267
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2014,60.591242825657204
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2014,57.9802449241961
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2014,54.98756366552775
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2014,61.36638700447616
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2014,58.479988450774414
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2014,43.40463128562405
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2014,34.51867631726132
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2014,54.07851099257751
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2014,64.55284827269347
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2014,45.065904257226876
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2014,42.02282961585202
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2014,34.93280852139446
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2014,32.21584902332106
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2014,54.73585348515829
